City Name,Year,Total No. of Live Births (in Thousands),No. of Live Births - Male (in Thousands),No. of Live Births - Female (in Thousands),No. of Deaths - Total (in Thousands),No. of Deaths - Male (in Thousands),No. of Deaths - Female (in Thousands),No. of Deaths - Infants (0-1 year) (in Thousands),No. of Deaths - Children (1-5 years) (in Thousands),No. of Deaths - age above 5 years (in Thousands)
Pimpri Chinchwad,2012,28139,14735,13404,NA,NA,NA,NA,NA,NA
Pimpri Chinchwad,2013,30063,15668,14395,NA,NA,NA,NA,NA,NA
Pimpri Chinchwad,2014,29421,15453,13968,NA,NA,NA,NA,NA,NA
Pimpri Chinchwad,2015,27292,14269,13023,8929,5628,3301,548,NA,NA
Pimpri Chinchwad,2016,27957,14483,13474,9291,5400,3891,344,NA,NA
Pimpri Chinchwad,2017,28338,14782,13556,10056,6171,3885,463,NA,NA
Pimpri Chinchwad,2018,27168,14413,12755,11226,6965,4261,598,NA,NA
Pimpri Chinchwad,2019,27994,14680,13314,11150,6960,4190,548,NA,NA
Pimpri Chinchwad,2020,26302,13631,12671,12702,8059,4643,305,NA,NA
Pimpri Chinchwad,2021,18542,9656,8886,16981,10530,6451,302,84,NA
