City Name,Year,No. of Deaths - Children (1-5 years),No. of Deaths - Female,No. of Deaths - Infants (0-1 year),No. of Deaths - Male,No. of Deaths - Total,No. of Deaths - age above 5 years,Total No. of Live Births
AURANGABAD MAHARASHTRA,2013-14,0.08,3.1,1.05,5.5,8.7,,50.105
AURANGABAD MAHARASHTRA,2014-15,0.07,3.2,0.55,5.6,8.8,,46.958
AURANGABAD MAHARASHTRA,2015-16,0.091,4.4,0.47,6.7,11.17,,48.214
AURANGABAD MAHARASHTRA,2016-17,0.176,3.7,1.02,5.7,9.5,,49.24
AURANGABAD MAHARASHTRA,2017-18,0.049,3.8,0.23,5.6,9.52,,46.868
D09-Mortality,2020-21,60.0,7174.0,540.0,10819.0,17993.0,17393.0,22203.0
Kalyan Dombivali ,2016-17,20.0,4578.0,63.0,4578.0,7827.0,7744.0,19793.0
Kalyan Dombivali ,2017-18,26.0,3301.0,62.0,4559.0,7860.0,7772.0,20602.0
Kalyan Dombivali ,2018-19,27.0,3440.0,102.0,4766.0,8206.0,8077.0,19823.0
Kalyan Dombivali ,2019-20,37.0,3530.0,105.0,5042.0,8562.0,8420.0,20131.0
Kalyan Dombivali ,2020-21,21.0,4503.0,103.0,6996.0,11499.0,16697.0,16821.0
Kalyan-Dombivli,2013-14,0.073,2.53,0.026,3.743,6.273,6.174,20.18
Kalyan-Dombivli,2014-15,0.054,2.461,0.02,3.701,6.162,6.088,19.88
Kalyan-Dombivli,2015-16,0.084,2.907,0.022,4.134,7.041,6.935,19.402
Kalyan-Dombivli,2016-17,0.026,2.748,0.108,3.943,6.691,6.557,18.99
Kalyan-Dombivli,2017-18,0.024,3.205,0.122,4.462,7.667,7.521,20.605
PUNE,2013-14,304.0,11250.0,1302.0,16142.0,27392.0,25786.0,57879.0
PUNE,2014-15,330.0,11779.0,1224.0,17037.0,28816.0,27262.0,54875.0
PUNE,2015-16,334.0,11767.0,1356.0,16944.0,28711.0,27021.0,56130.0
PUNE,2016-17,333.0,12818.0,1501.0,18557.0,31375.0,29541.0,55561.0
PUNE,2017-18,316.0,12240.0,1277.0,17074.0,29314.0,27721.0,56763.0
Pimpri Chinchwad,2013-14,0.0,3495.0,524.0,5787.0,9282.0,0.0,27214.0
Pimpri Chinchwad,2014-15,0.0,3301.0,548.0,5628.0,8929.0,0.0,27292.0
Pimpri Chinchwad,2015-16,0.0,3891.0,344.0,5400.0,9291.0,0.0,27957.0
Pimpri Chinchwad,2016-17,0.0,3885.0,463.0,6171.0,10056.0,0.0,28338.0
Pimpri Chinchwad,2017-18,0.0,4261.0,598.0,6965.0,11226.0,0.0,27168.0
Pune,2018-19,334.0,12027.0,1132.0,17182.0,29209.0,27743.0,51379.0
Pune,2019-2020,CRS System stared,CRS System stared,CRS System stared,CRS System stared,CRS System stared,CRS System stared,CRS System stared
Smart City Solapur,2013-14,89.0,3864.0,447.0,6486.0,10350.0,9814.0,21337.0
Smart City Solapur,2014-15,166.0,5214.0,645.0,8491.0,13705.0,12894.0,53345.0
Smart City Solapur,2015-16,168.0,4808.0,1110.0,7597.0,12402.0,11127.0,40156.0
Smart City Solapur,2016-17,54.0,2301.0,372.0,3645.0,5968.0,5501.0,15200.0
Smart City Solapur,2017-18,0.0,7760.0,0.0,12308.0,20071.0,0.0,64677.0
THANE,2013-14,107.0,4439.0,701.0,6214.0,10653.0,9845.0,18944.0
THANE,2014-15,104.0,4366.0,662.0,6362.0,10728.0,9962.0,26751.0
THANE,2015-16,104.0,4605.0,621.0,6147.0,10752.0,10027.0,26274.0
THANE,2016-17,97.0,4837.0,665.0,6662.0,11499.0,10737.0,26685.0
THANE,2017-18,106.0,4754.0,615.0,6404.0,11158.0,10432.0,27558.0
